Incorporated City or Town,2020 Decennial Census Population,MGRT Tax Rate
Goldsmith city,236,0.00%
Goldthwaite city,"1,738",0.58%
Goliad city,"1,620",0.58%
Golinda city,618,0.00%
Gonzales city,"7,165",1.07%
Goodlow city,178,0.00%
Goodrich city,248,0.00%
Gordon city,470,0.00%
Goree city,158,0.00%
Gorman city,976,0.00%
Graford city,669,0.00%
Graham city,"8,732",1.07%
Granbury city,"10,958",2.00%
Grand Prairie city,"196,100",2.00%
Grand Saline city,"3,107",1.07%
Grandfalls town,340,0.00%
Grandview city,"1,879",0.58%
Granger city,"1,183",0.58%
Granite Shoals city,"5,129",1.07%
Granjeno city,283,0.00%
Grapeland city,"1,465",0.58%
Grapevine city,"50,631",2.00%
Grays Prairie village,325,0.00%
Greenville city,"28,164",2.00%
Gregory city,"1,740",0.58%
Grey Forest city,492,0.00%
Groesbeck city,"3,631",1.07%
Groom town,552,0.00%
Groves city,"17,335",2.00%
Groveton city,918,0.00%
Gruver city,"1,130",0.58%
Gun Barrel City city,"6,190",1.07%
Gunter city,"2,060",0.58%
Gustine town,392,0.00%
Hackberry town,"2,973",1.07%
Hale Center city,"2,062",0.58%
Hallettsville city,"2,731",1.07%
Hallsburg city,419,0.00%
Hallsville city,"4,277",1.07%
Haltom City city,"46,073",2.00%
Hamilton city,"2,895",1.07%
Hamlin city,"1,831",0.58%
Happy town,602,0.00%
Hardin city,768,0.00%
Harker Heights city,"33,097",2.00%
Harlingen city,"71,829",2.00%
Hart city,869,0.00%
Harwood town,120,0.00%
Haskell city,"3,089",1.07%
Haslet city,"1,952",0.58%
Hawk Cove city,452,0.00%
Hawkins city,"1,274",0.58%
Hawley city,545,0.00%
Hays city,227,0.00%
Hearne city,"4,544",1.07%
Heath city,"9,769",1.07%
Hebron town,803,0.00%
Hedley city,275,0.00%
Hedwig Village city,"2,370",0.58%
Helotes city,"9,030",1.07%
Hemphill city,"1,029",0.58%
Hempstead city,"5,430",1.07%
Henderson city,"13,271",2.00%
Henrietta city,"3,111",1.07%
Hereford city,"14,972",2.00%
Hewitt city,"16,026",2.00%
Hickory Creek town,"4,718",1.07%
Hico city,"1,335",0.58%
Hidalgo city,"13,964",2.00%
Hideaway city,"3,201",1.07%
Higgins city,356,0.00%
Highland Haven city,418,0.00%
Highland Park town,"8,864",1.07%
Highland Village city,"15,899",2.00%
Hill Country Village city,942,0.00%
Hillcrest village,705,0.00%
Hillsboro city,"8,221",1.07%
Hilshire Village city,816,0.00%
Hitchcock city,"7,301",1.07%
Holiday Lakes town,991,0.00%
Holland town,"1,075",0.58%
Holliday city,"1,524",0.58%
Hollywood Park town,"3,130",1.07%
Hondo city,"8,289",1.07%
Honey Grove city,"1,715",0.58%
Hooks city,"2,518",1.07%
Horizon City city,"22,489",2.00%
Horseshoe Bay city,"4,257",1.07%
Houston city,"2,304,580",2.00%
Howardwick city,370,0.00%
Howe town,"3,571",1.07%
Hubbard city,"1,394",0.58%
Hudson city,"4,849",1.07%
Hudson Oaks city,"2,174",0.58%
Hughes Springs city,"1,575",0.58%
Humble city,"16,795",2.00%
Hunters Creek Village city,"4,385",1.07%
Huntington city,"2,025",0.58%
Huntsville city,"45,941",2.00%
Hurst city,"40,413",2.00%
Hutchins city,"5,607",1.07%
Hutto city,"27,577",2.00%
Huxley city,361,0.00%
Idalou city,"2,193",0.58%
Impact town,22,0.00%
Indian Lake town,839,0.00%
Industry city,268,0.00%
Ingleside city,"9,519",1.07%
Ingleside on the Bay city,614,0.00%
Ingram city,"1,787",0.58%
Iola city,311,0.00%
Iowa Colony village,"8,154",1.07%
Iowa Park city,"6,535",1.07%
Iraan city,"1,055",0.58%
Iredell city,305,0.00%
Irving city,"256,684",2.00%
Italy town,"1,926",0.58%
Itasca city,"1,562",0.58%
Ivanhoe city,"1,327",0.58%
Jacinto City city,"9,613",1.07%
Jacksboro city,"4,184",1.07%
Jacksonville city,"13,997",2.00%
Jamaica Beach city,"1,078",0.58%
Jarrell city,"1,753",0.58%
Jasper city,"6,884",1.07%
Jayton city,511,0.00%
Jefferson city,"1,875",0.58%
Jersey Village city,"7,921",1.07%
Jewett city,793,0.00%
Joaquin city,734,0.00%
